pl_hostname,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
MOA 2010-BLG-073L,Microlensing,,1.21,,11.,2800.,0.16,2014-05-14,
HD 4208,Radial Velocity,828.,1.65,0.052,0.804,32.7,0.87,2014-07-23,30.58
HATS-13,Transit,3.0440499,0.04057,0.181,0.543,476.,0.96,2015-08-13,
WASP-61,Transit,3.8559,0.0514,0.26,2.06,480.,1.22,2014-05-14,
HD 207832,Radial Velocity,161.97,0.57,0.13,0.56,55.31,0.94,2015-09-10,18.08
HD 207832,Radial Velocity,1155.7,2.112,0.27,0.73,55.31,0.94,2015-09-10,18.08
HATS-8,Transit,3.583893,0.04667,0.376,0.138,829.,1.06,2015-06-17,
UZ For,Eclipse Timing Variations,1916.25,2.8,0.05,7.7,,0.7,2014-05-14,
UZ For,Eclipse Timing Variations,5840.,5.9,0.04,6.3,,0.7,2014-05-14,
HATS-14,Transit,2.7667641,0.03815,0.142,1.071,513.,0.97,2015-08-13,
HD 77338,Radial Velocity,5.7361,0.0614,0.09,0.05,41.27,0.93,2014-05-14,24.23
ROXs 12,Imaging,,210.,,16.,120.,0.87,2014-05-14,
HD 134987,Radial Velocity,258.19,0.81,0.233,1.59,22.2,1.1,2014-05-14,
HD 134987,Radial Velocity,5000.,5.8,0.12,0.82,22.2,1.1,2014-05-14,
GJ 3293,Radial Velocity,123.75,0.364,0.33,0.081,,0.42,2014-12-03,55.
GJ 3293,Radial Velocity,30.6,0.1434,0.07,0.081,,0.42,2014-12-03,55.
K2-24,Transit,42.36342,0.2471,,,181.,1.12,2016-07-07,
K2-24,Transit,20.88508,0.1542,,,181.,1.12,2016-07-07,
K2-52,Transit,3.53482,0.0485,,,,1.21,2016-07-18,
K2-37,Transit,14.09189,0.1103,,,,0.9,2016-07-07,
K2-37,Transit,4.44117,0.0511,,,,0.9,2016-07-07,
K2-37,Transit,6.42904,0.0654,,,,0.9,2016-07-07,
SR 12 AB,Imaging,,,,13.,,,2014-05-14,
2MASS J01225093-2439505,Imaging,,52.,,24.5,36.,0.4,2014-05-14,
ROXs 42 B,Imaging,,157.,,9.,135.,1.,2014-05-14,
HATS-3,Transit,3.547851,0.0485,0.,1.071,453.,1.21,2014-05-14,
HD 30856,Radial Velocity,912.,1.8,0.117,1.8,121.07,1.35,2014-05-14,8.26
OGLE 2012-BLG-358L,Microlensing,,0.87,,1.85,1760.,0.02,2014-05-14,
HD 179949,Radial Velocity,3.092514,0.0443,0.022,0.916,27.05,1.21,2014-07-09,36.97
HD 4732,Radial Velocity,2732.,4.6,0.23,2.37,56.5,1.74,2014-05-14,17.7
HD 4732,Radial Velocity,360.2,1.19,0.13,2.37,56.5,1.74,2014-05-14,17.7
HD 86226,Radial Velocity,1695.,2.84,0.15,0.92,42.48,1.06,2014-05-14,23.54
Oph 11,Imaging,7.3e6,243.,,14.,125.,0.02,2016-03-10,
HD 98219,Radial Velocity,436.9,1.23,0.112,1.8,150.38,1.3,2014-05-14,6.65
WASP-20,Transit,4.8996284,0.06,0.,0.311,210.,1.2,2015-03-05,
WASP-34,Transit,4.3176782,0.0524,0.038,0.59,120.,1.01,2014-05-14,
WASP-22,Transit,3.53273064,0.0489,,0.617,300.,1.25,2016-02-25,
HATS-25,Transit,4.2986432,0.05163,0.176,0.613,466.,0.99,2016-06-09,
HD 181342,Radial Velocity,562.1,1.65,0.1,2.9,110.62,1.89,2016-03-17,9.04
HD 180902,Radial Velocity,479.,1.39,0.09,1.6,114.55,1.52,2014-05-14,8.73
K2-31,Transit,1.25785,,0.,1.85665,,1.,2016-05-05,
WASP-101,Transit,3.585722,0.0506,0.,0.5,,1.34,2014-05-14,
GJ 317,Radial Velocity,692.,1.15,0.11,2.5,15.1,0.42,2014-08-27,65.3
HATS-1,Transit,3.446459,0.0444,0.12,1.855,303.,0.99,2014-05-14,
HD 98649,Radial Velocity,4951.,5.6,0.85,6.8,42.77,1.,2014-05-14,23.38
K2-38,Transit,4.01593,0.0506,,0.03776,,1.07,2016-07-07,
K2-38,Transit,10.56103,0.0964,,0.03115,,1.07,2016-07-07,
HIP 12961,Radial Velocity,57.435,0.25,0.166,0.35,23.8,,2015-05-14,42.01
WASP-6,Transit,3.36100208,0.0414,0.054,0.485,,0.84,2015-04-16,
HATS-2,Transit,1.354133,0.023,0.,1.345,360.,0.88,2014-05-14,
HATS-4,Transit,2.516729,0.0362,0.013,1.323,420.,1.,2014-07-02,
HIP 5158,Radial Velocity,345.72,0.89,0.52,1.42,44.8,0.78,2014-05-14,22.32
HIP 5158,Radial Velocity,9017.76,7.7,0.14,15.04,44.8,0.78,2015-09-10,22.32
HD 224693,Radial Velocity,26.73,0.192,0.05,0.71,94.07,1.33,2014-11-19,10.63
HD 60532,Radial Velocity,201.9,0.77,0.26,1.06,25.3,1.5,2016-09-08,39.53
HD 60532,Radial Velocity,600.1,1.6,0.03,2.51,25.3,1.5,2016-09-08,39.53
HATS-10,Transit,3.312846,0.04491,0.501,0.526,496.,1.1,2015-05-21,
WASP-78,Transit,2.17517632,0.0362,0.,0.89,550.,1.17,2014-05-14,
HD 95872,Radial Velocity,4375.,5.2,0.06,4.6,7.56,0.95,2015-12-17,132.3
HIP 78530,Imaging,,740.,,23.,156.7,2.5,2015-04-01,
HD 204313,Radial Velocity,34.905,0.2099,0.155,0.0553,47.3,1.02,2015-11-19,21.14
HD 204313,Radial Velocity,2024.1,3.167,0.0946,4.28,47.3,1.02,2015-11-19,21.14
HATS-5,Transit,4.763387,0.0542,0.019,0.237,257.,0.94,2014-05-14,
1RXS J160929.1-210524,Imaging,,330.,,8.,145.,0.85,2015-04-01,
HD 204941,Radial Velocity,1733.,2.56,0.37,0.266,26.95,0.74,2014-05-14,37.1
HD 18742,Radial Velocity,772.,1.92,0.12,2.7,127.88,1.6,2014-05-14,7.82
HD 202206,Radial Velocity,255.87,0.83,0.435,17.4,46.34,1.15,2015-08-27,21.58
HD 202206,Radial Velocity,1383.4,2.55,0.267,2.44,46.34,1.15,2015-08-27,21.58
GSC 06214-00210,Imaging,,320.,,16.,145.,0.9,2015-04-01,
HD 155233,Radial Velocity,818.8,2.,0.04,2.6,75.13,1.69,2016-03-17,13.31
HD 220689,Radial Velocity,2209.,3.36,0.16,1.06,45.23,1.04,2014-05-14,22.11
K2-53,Transit,12.2054,0.0975,,,,0.83,2016-07-18,
HD 104067,Radial Velocity,55.806,0.2643,0.,0.186,20.82,0.79,2014-05-14,48.04
WASP-16,Transit,3.1186009,0.0421,0.,0.855,,1.02,2014-05-14,
HATS-9,Transit,1.9153073,0.03048,0.129,0.837,622.,1.03,2015-05-21,
WASP-67,Transit,4.61442,0.0517,0.2,0.42,225.,0.87,2014-05-14,
HD 1666,Radial Velocity,270.,0.94,0.63,6.43,110.62,1.5,2015-04-01,9.04
K2-32,Transit,8.99218,0.0808,,,,0.87,2016-07-07,
K2-32,Transit,20.65614,0.1407,,,,0.87,2016-07-07,
K2-32,Transit,31.71922,0.1873,,,,0.87,2016-07-07,
HD 11506,Radial Velocity,223.6,0.721,0.24,0.36,51.7,1.24,2014-12-03,
HD 11506,Radial Velocity,1627.5,2.708,0.37,4.21,51.7,1.24,2014-12-03,
HATS-15,Transit,1.74748753,0.02712,0.126,2.17,689.,0.87,2016-06-23,
HD 156846,Radial Velocity,359.5546,1.096,0.84785,10.57,49.,1.35,2014-05-14,20.41
K2-33,Transit,5.424865,,0.,3.7,145.,0.56,2016-06-23,
WASP-68,Transit,5.084298,0.06206,0.,0.95,,1.24,2014-05-14,
WASP-83,Transit,4.971252,0.059,0.,0.3,300.,1.11,2015-07-09,
7 CMa,Radial Velocity,796.,1.93,0.22,2.46,19.84,1.52,2015-10-22,50.41
WASP-31,Transit,3.4059096,0.04659,0.,0.478,360.,1.16,2014-05-14,
HATS-6,Transit,3.3252725,0.03623,0.,0.319,148.4,0.57,2015-05-14,
WASP-89,Transit,3.3564227,0.0427,0.193,5.9,,0.92,2015-07-09,
HIP 79431,Radial Velocity,111.7,0.36,0.29,2.1,14.9,,2014-05-14,67.13
HD 141937,Radial Velocity,653.22,1.4877,0.41,9.316,33.46,1.03,2014-11-19,29.89
USco CTIO 108,Imaging,,670.,,14.,,0.06,2015-05-14,
61 Vir,Radial Velocity,38.021,0.2175,0.14,0.057,8.52,0.94,2014-05-14,117.3
61 Vir,Radial Velocity,123.01,0.476,0.35,0.072,8.52,0.94,2014-05-14,117.3
61 Vir,Radial Velocity,4.215,0.050201,0.12,0.016,8.52,0.94,2014-05-14,117.3
K2-54,Transit,9.7843,0.0671,,,,0.42,2016-07-18,
WASP-55,Transit,4.4656291,0.0558,,0.627,330.,1.16,2016-02-25,
HD 125612,Radial Velocity,559.4,1.37,0.46,3.,52.83,1.09,2014-05-14,18.93
HD 125612,Radial Velocity,4.1547,0.05,0.27,0.058,52.83,1.09,2014-05-14,18.93
HD 125612,Radial Velocity,3008.,4.2,0.28,7.2,52.83,1.09,2014-05-14,18.93
HD 212771,Radial Velocity,373.3,1.22,0.111,2.3,121.8,1.15,2014-05-14,8.21
K2-55,Transit,2.849258,0.03486,,,,0.7,2016-07-18,
WASP-49,Transit,2.7817387,0.0379,0.,0.378,170.,0.94,2014-05-14,
BD-17 63,Radial Velocity,655.6,1.34,0.54,5.1,37.54,0.74,2014-05-14,26.64
HD 86264,Radial Velocity,1475.,2.86,0.7,7.,72.57,,2015-04-24,13.78
WASP-26,Transit,2.7566004,0.03985,0.,1.028,250.,1.11,2014-05-14,
HD 33844,Radial Velocity,551.4,1.6,0.15,1.96,100.9,1.78,2016-01-14,
HD 33844,Radial Velocity,916.,2.24,0.13,1.75,100.9,1.78,2016-01-14,
PSR J1719-1438,Pulsar Timing,0.09070629,0.0044,0.06,1.2,1200.,1.4,2014-05-14,
K2-21,Transit,15.5012,0.1026,,,65.,0.64,2015-09-18,
K2-21,Transit,9.32414,0.0731,,,65.,0.64,2015-09-18,
GJ 876,Radial Velocity,61.1166,0.208317,0.0324,2.2756,4.7,0.33,2014-08-27,212.69
GJ 876,Radial Velocity,124.26,0.3343,0.055,0.046,4.7,0.33,2014-08-27,212.69
GJ 876,Radial Velocity,1.93778,0.020807,0.207,0.021,4.7,0.33,2014-08-27,212.69
GJ 876,Radial Velocity,30.0881,0.12959,0.25591,0.7142,4.7,0.33,2014-08-27,212.69
K2-57,Transit,9.0063,0.0746,,,,0.68,2016-07-18,
K2-58,Transit,2.53726,0.035,,,,0.89,2016-07-18,
K2-58,Transit,7.05254,0.0692,,,,0.89,2016-07-18,
K2-58,Transit,22.8827,0.1517,,,,0.89,2016-07-18,
K2-59,Transit,11.2954,0.0905,,,,0.77,2016-07-18,
K2-59,Transit,20.6921,0.1354,,,,0.77,2016-07-18,
HD 33142,Radial Velocity,326.6,1.06,0.12,1.3,136.8,1.48,2014-05-14,7.31
BD-13 2130,Radial Velocity,714.3,2.1,0.21,10.6,766.,2.4,2015-05-14,
K2-60,Transit,3.002627,0.04179,,,,1.08,2016-07-18,
K2-61,Transit,2.57302,0.0392,,,,1.21,2016-07-18,
WASP-70 A,Transit,3.7130203,0.04853,0.,0.59,245.,1.11,2014-10-15,
HD 148427,Radial Velocity,331.5,0.93,0.16,0.96,59.28,,2014-05-14,16.87
VHS J125601.92-125723.9,Imaging,,102.,,11.2,12.7,0.07,2015-05-14,78.8
Wolf 1061,Radial Velocity,17.867,0.08427,0.19,0.01337,4.29,0.25,2016-01-05,
Wolf 1061,Radial Velocity,4.8876,0.035509,0.,0.00428,4.29,0.25,2016-01-05,
Wolf 1061,Radial Velocity,67.27,0.2039,0.32,0.01639,4.29,0.25,2016-01-05,
HD 69830,Radial Velocity,197.,0.63,0.07,0.057,12.58,0.86,2015-03-26,79.48
HD 69830,Radial Velocity,31.56,0.186,0.13,0.0371,12.58,0.86,2015-03-26,79.48
HD 69830,Radial Velocity,8.667,0.0785,0.1,0.0321,12.58,0.86,2015-03-26,79.48
K2-62,Transit,6.67202,0.0636,,,,0.77,2016-07-18,
K2-62,Transit,16.1966,0.1148,,,,0.77,2016-07-18,
HD 82943,Radial Velocity,220.078,0.74345,0.3663,1.959,27.46,1.2,2014-05-14,36.42
HD 82943,Radial Velocity,441.47,1.18306,0.162,1.681,27.46,1.2,2014-05-14,36.42
HD 103774,Radial Velocity,5.8881,0.07,0.09,0.367,53.08,1.33,2014-05-14,18.84
K2-63,Transit,20.257,0.1627,,,,1.4,2016-07-18,
WASP-47,Transit,0.789597,,,0.06922,200.,1.04,2015-10-15,
WASP-47,Transit,9.03081,,,0.04782,200.,1.04,2015-10-15,
WASP-47,Radial Velocity,572.,1.36,0.13,1.24,200.,1.04,2015-10-15,
WASP-47,Transit,4.1591287,,,1.0729,200.,1.04,2015-10-15,
WASP-44,Transit,2.4238039,0.03473,0.,0.889,,0.95,2014-05-14,
HD 168746,Radial Velocity,6.404,0.0659,0.107,0.248,43.12,0.93,2014-06-25,23.19
BD-11 4672,Radial Velocity,1667.,2.28,0.05,0.53,27.3,0.57,2015-01-08,36.65
HD 109271,Radial Velocity,7.8543,0.079,0.25,0.054,56.92,1.05,2014-05-14,17.57
HD 109271,Radial Velocity,30.93,0.196,0.15,0.076,56.92,1.05,2014-05-14,17.57
K2-64,Transit,6.53044,0.0619,,,,0.74,2016-07-18,
K2-65,Transit,12.6475,0.1014,,,78.06,0.87,2016-07-18,12.81
WASP-50,Transit,1.9550959,0.02945,0.009,1.468,230.,0.89,2014-05-14,
BD-10 3166,Radial Velocity,3.48777,0.0452,0.019,0.458,80.,1.01,2014-08-27,
HD 44219,Radial Velocity,472.3,1.19,0.61,0.58,50.4,1.,2015-01-22,19.83
K2-66,Transit,5.06965,0.06069,,,,1.16,2016-07-18,
WASP-75,Transit,2.484193,0.0375,0.,1.07,260.,1.14,2014-05-14,
K2-67,Transit,24.38724,0.1611,,,,0.94,2016-07-18,
K2-68,Transit,8.05428,0.0708,,,,0.73,2016-07-18,
HD 28185,Radial Velocity,385.9,1.032,0.092,5.59,39.6,0.98,2014-05-14,
K2-69,Transit,7.06599,0.0591,,,,0.55,2016-07-18,
HD 96167,Radial Velocity,498.9,1.3,0.71,0.68,84.03,1.31,2015-05-14,11.9
HD 11964,Radial Velocity,1945.,3.16,0.041,0.622,33.98,1.12,2014-05-14,29.43
HD 11964,Radial Velocity,37.91,0.229,0.3,0.0788,33.98,1.12,2014-05-14,29.43
K2-70,Transit,13.97896,0.1112,,,,0.94,2016-07-18,
K2-71,Transit,6.98541,0.0559,,,,0.48,2016-07-18,
WASP-43,Transit,0.813475,0.0142,0.,1.78,80.,0.58,2014-05-14,
nu Oph,Radial Velocity,3186.,6.1,0.165,27.,46.84,3.04,2015-09-03,21.35
nu Oph,Radial Velocity,530.32,1.9,0.1256,24.,46.84,3.04,2015-09-03,21.35
K2-72,Transit,5.57739,0.037,,,,0.22,2016-07-18,
K2-72,Transit,15.1871,0.0722,,,,0.22,2016-07-18,
K2-72,Transit,7.7599,0.0461,,,,0.22,2016-07-18,
K2-72,Transit,24.1669,0.098,,,,0.22,2016-07-18,
HD 168443,Radial Velocity,58.11247,0.2931,0.52883,7.659,37.88,0.99,2014-06-25,26.4
HD 168443,Radial Velocity,1749.83,2.8373,0.2113,17.193,37.88,0.99,2015-02-05,26.4
BD-08 2823,Radial Velocity,5.6,0.056,0.15,0.045,42.09,0.74,2014-05-14,23.76
BD-08 2823,Radial Velocity,237.6,0.68,0.19,0.33,42.09,0.74,2014-05-14,23.76
HD 106270,Radial Velocity,2890.,4.3,0.402,11.,87.87,1.32,2014-05-14,11.38
eps Eri,Radial Velocity,2502.,3.39,0.702,1.55,3.21,0.83,2015-09-03,311.37
91 Aqr,Radial Velocity,181.4,0.7,0.027,3.2,45.52,1.4,2014-05-14,21.97
K2-73,Transit,7.49543,0.07619,,,,1.05,2016-07-18,
K2-39,Transit,4.60543,0.062,0.,0.15826,,1.53,2016-06-03,
K2-74,Transit,19.5666,0.1402,,,,0.96,2016-07-18,
HD 38801,Radial Velocity,696.3,1.7,0.,10.7,99.4,1.36,2014-05-14,10.06
WASP-157,Transit,3.9516205,0.0529,0.,0.574,,1.26,2016-06-23,
HD 1690,Radial Velocity,533.,1.3,0.64,6.1,7.01,1.09,2014-05-14,43.42
HD 6718,Radial Velocity,2496.,3.56,0.1,1.56,54.9,0.96,2015-03-26,18.23
HD 1461,Radial Velocity,5.77152,0.0634,0.172,0.02026,23.44,1.02,2015-11-19,42.67
HD 1461,Radial Velocity,13.5052,0.1117,0.305,0.01759,23.44,1.02,2015-11-19,42.67
WASP-36,Transit,1.53736596,0.02677,,2.361,450.,1.08,2016-04-07,
HD 110014,Radial Velocity,835.477,2.14,0.462,11.09,90.,2.17,2014-05-14,11.11
K2-28,Transit,2.260455,0.0214,0.,,53.,0.26,2016-02-25,
GJ 581,Radial Velocity,5.3686,0.04061,0.,0.0497,6.27,0.31,2014-07-09,159.52
GJ 581,Radial Velocity,3.149,0.02815,0.,0.0053,6.27,0.31,2014-07-09,159.52
GJ 581,Radial Velocity,12.914,0.0721,0.,0.0173,6.27,0.31,2014-07-09,159.52
HD 210277,Radial Velocity,442.19,1.138,0.476,1.29,21.29,1.01,2014-11-19,46.97
K2-75,Transit,7.8142,0.081,,,,1.16,2016-07-18,
K2-75,Transit,18.311,0.1429,,,,1.16,2016-07-18,
HD 206610,Radial Velocity,610.,1.68,0.229,2.2,170.07,1.56,2014-05-14,5.88
HD 106515 A,Radial Velocity,3630.,4.59,0.572,9.61,36.36,0.97,2014-05-14,27.5
WASP-77 A,Transit,1.3600309,0.024,0.,1.76,93.,1.,2014-05-14,
Qatar-2,Transit,1.33711647,0.02153,0.,2.494,,0.74,2014-11-05,
CoRoT-17,Transit,3.7681,0.0461,0.,2.43,920.,1.04,2014-05-14,
WASP-35,Transit,3.161575,0.04317,0.,0.72,,1.07,2014-05-14,
K2-76,Transit,23.9726,0.1638,,,,1.02,2016-07-18,
CoRoT-16,Transit,5.35227,0.0618,0.33,0.535,840.,1.1,2014-05-14,
BD-06 1339,Radial Velocity,125.94,0.435,0.31,0.17,20.1,0.7,2014-05-14,49.74
BD-06 1339,Radial Velocity,3.8728,0.0428,0.,0.027,20.1,0.7,2014-05-14,49.74
HD 222582,Radial Velocity,572.38,1.347,0.725,7.75,41.95,0.99,2014-07-23,23.84
HD 2638,Radial Velocity,3.4442,0.044,0.,0.48,53.71,0.93,2014-11-19,18.62
HD 30562,Radial Velocity,1159.2,2.315,0.778,1.373,26.5,1.23,2014-05-14,37.73
CoRoT-14,Transit,1.51214,0.027,0.,7.6,1340.,1.13,2014-05-14,
HD 52265,Radial Velocity,119.6,0.5,0.35,1.05,28.07,1.18,2015-03-26,35.63
HD 126614,Radial Velocity,1244.,2.35,0.41,0.38,68.35,1.15,2014-05-14,14.63
K2-42,Transit,6.68796,0.0617,,,,0.7,2016-07-18,
WASP-69,Transit,3.8681382,0.04525,0.,0.26,50.,0.83,2014-10-15,
CoRoT-13,Transit,4.03519,0.051,0.,1.308,1060.,1.09,2014-05-14,
WASP-106,Transit,9.289715,0.0917,0.,1.925,283.,1.19,2014-09-25,
HD 7449,Radial Velocity,1275.,2.3,0.82,1.11,38.52,1.05,2014-05-14,25.96
TRAPPIST-1,Transit,1.510848,0.01111,0.,,12.1,0.08,2016-05-05,
TRAPPIST-1,Transit,2.421848,0.01522,0.,,12.1,0.08,2016-05-05,
TRAPPIST-1,Transit,18.202,,0.,,12.1,0.08,2016-05-05,
HD 100777,Radial Velocity,383.7,1.03,0.36,1.16,52.8,1.01,2014-05-14,18.94
GJ 849,Radial Velocity,1845.,2.32,0.05,0.91,8.77,0.49,2014-08-27,113.97
K2-43,Transit,3.47114,0.03784,,,,0.6,2016-07-18,
K2-4,Transit,10.00329,0.0777,,,,0.63,2015-07-16,
HD 86081,Radial Velocity,2.1375,0.035,0.008,1.5,91.16,1.21,2015-04-16,10.97
CoRoT-24,Transit,5.1134,0.056,0.,0.018,600.,0.91,2014-06-11,
CoRoT-24,Transit,11.759,0.098,0.,0.088,600.,0.91,2014-06-11,
HD 16141,Radial Velocity,75.523,0.363,0.252,0.26,35.91,1.12,2014-05-14,27.85
HD 111998,Radial Velocity,825.9,1.82,0.03,4.51,32.73,1.18,2016-09-08,30.55
WASP-39,Transit,4.055259,0.0486,0.,0.28,230.,0.93,2014-05-14,
81 Cet,Radial Velocity,952.7,2.5,0.206,5.3,97.18,2.4,2014-05-14,10.29
HAT-P-45,Transit,3.128992,0.0452,0.049,0.892,305.,1.26,2014-05-14,
HD 107148,Radial Velocity,48.056,0.269,0.05,0.21,51.26,1.12,2014-05-14,19.51
CoRoT-1,Transit,1.5089557,,0.,1.03,,0.95,2014-05-14,
HAT-P-46,Transit,4.463129,0.0577,0.123,0.493,296.,1.28,2014-05-14,
HD 103720,Radial Velocity,4.5557,0.0498,0.086,0.62,41.6,0.79,2015-01-08,24.05
HD 179079,Radial Velocity,14.476,0.1216,0.115,0.0866,63.69,1.15,2014-07-09,15.7
K2-44,Transit,5.65688,0.0651,,,,1.15,2016-07-18,
HD 96063,Radial Velocity,361.1,0.99,0.03,0.9,132.8,1.02,2014-05-14,7.53
51 Eri,Imaging,,13.2,,2.,29.4,1.75,2015-08-14,
HD 217107,Radial Velocity,4270.,5.32,0.517,2.6,19.72,1.02,2014-05-14,50.71
HD 217107,Radial Velocity,7.126816,0.0748,0.1267,1.39,19.72,1.02,2014-05-14,50.71
HD 290327,Radial Velocity,2443.,3.43,0.08,2.54,56.7,0.9,2014-11-19,17.65
HD 114783,Radial Velocity,493.7,1.16,0.144,1.1,20.4,0.85,2014-05-14,
HD 218566,Radial Velocity,225.7,0.6873,0.3,0.21,29.94,0.85,2014-05-14,33.4
HD 92788,Radial Velocity,325.,0.96,0.35,3.58,32.32,1.1,2015-04-24,30.94
WASP-80,Transit,3.06785234,0.0344,0.002,0.538,60.,0.58,2015-04-16,
WASP-57,Transit,2.83891856,0.03769,,0.644,455.,0.89,2015-10-15,
NY Vir,Eclipse Timing Variations,2985.7,,0.44,2.78,,,2014-09-25,
K2-5,Transit,10.93241,0.0818,,,,0.61,2016-07-07,
K2-5,Transit,5.73594,0.0532,,,,0.61,2016-07-07,
K2-45,Transit,1.7292684,0.0224,,,,0.5,2016-07-18,
WASP-28,Transit,3.40883,0.04469,0.,0.907,410.,1.02,2015-03-05,
HD 72659,Radial Velocity,3658.,4.74,0.22,3.15,51.4,1.06,2016-03-10,
HD 99109,Radial Velocity,439.3,1.105,0.09,0.502,60.46,0.93,2014-07-23,16.54
K2-3,Transit,44.55983,0.2076,,,42.,0.6,2016-07-07,
K2-3,Transit,10.05449,0.0769,,,42.,0.6,2016-07-07,
K2-3,Transit,24.64354,0.1399,,,42.,0.6,2016-07-07,
CoRoT-12,Transit,2.828042,0.04016,0.07,0.917,1150.,1.08,2014-05-14,
K2-6,Transit,30.94191,0.1898,,,,0.97,2015-07-16,
HD 19994,Radial Velocity,466.2,1.305,0.063,1.37,22.38,1.37,2014-05-14,44.69
HD 66428,Radial Velocity,1973.,3.18,0.465,2.82,55.04,1.1,2014-07-23,18.17
WASP-74,Transit,2.13775,0.037,0.,0.95,120.,1.48,2015-07-09,
K2-7,Transit,28.67992,0.1814,,,,0.97,2015-07-16,
CoRoT-7,Radial Velocity,3.698,0.046,0.,0.02643,153.7,0.91,2015-09-10,
CoRoT-7,Transit,0.85359159,0.017016,0.,0.018,153.7,0.91,2015-03-05,
75 Cet,Radial Velocity,691.9,2.1,0.117,3.,81.5,2.49,2015-09-03,12.27
K2-46,Transit,19.1541,0.13821,,,,0.96,2016-07-18,
24 Sex,Radial Velocity,883.,2.08,0.29,0.86,74.79,1.54,2014-05-14,13.37
24 Sex,Radial Velocity,452.8,1.333,0.09,1.99,74.79,1.54,2014-05-14,13.37
HD 192263,Radial Velocity,24.3587,0.15312,0.008,0.733,19.89,0.81,2015-03-26,50.27
HIP 97233,Radial Velocity,1058.8,2.55,0.61,20.,106.5,1.93,2014-10-03,9.39
CoRoT-4,Transit,9.20205,0.09,0.,0.72,,1.16,2014-05-14,
HD 217786,Radial Velocity,1319.,2.38,0.4,13.,54.8,1.02,2014-05-14,18.23
K2-8,Transit,5.06416,0.0532,,,,0.78,2016-07-07,
K2-8,Transit,10.35239,0.0856,,,,0.78,2016-07-07,
HD 130322,Radial Velocity,10.70871,0.0925,0.029,1.15,29.76,0.92,2015-02-19,33.6
CoRoT-19,Transit,3.89713,0.0518,0.047,1.11,770.,1.21,2014-05-14,
WASP-54,Transit,3.6936411,0.04987,0.067,0.636,200.,1.21,2014-05-14,
CoRoT-18,Transit,1.9000693,0.0295,0.08,3.47,870.,0.95,2014-05-14,
K2-9,Transit,18.4498,0.091,,,110.,0.3,2016-01-21,
HD 164509,Radial Velocity,282.4,0.875,0.26,0.48,51.81,1.13,2014-06-25,19.3
CoRoT-3,Transit,4.2568,,0.,21.66,680.,1.37,2014-05-14,
CoRoT-20,Transit,9.24285,0.0902,0.562,4.24,1230.,1.14,2014-05-14,
HIP 116454,Transit,9.1205,0.0906,0.205,0.037,55.2,0.78,2014-12-19,18.1
K2-19,Transit,7.9194,0.074,,,291.,0.93,2016-07-07,
K2-19,Transit,11.90715,0.0971,,,291.,0.93,2016-07-07,
K2-19,Transit,2.50856,0.0344,,,291.,0.93,2016-07-07,
CoRoT-10,Transit,13.2406,0.1055,0.53,2.75,345.,0.89,2014-05-14,
WASP-71,Transit,2.9036747,0.04619,0.,2.242,345.,1.56,2014-05-14,
HD 5319,Radial Velocity,886.,2.071,0.15,1.15,114.,1.51,2014-12-03,
HD 5319,Radial Velocity,641.,1.6697,0.02,1.76,114.,1.51,2014-12-03,
CoRoT-5,Transit,4.0378962,0.04947,0.09,0.467,,1.,2014-05-14,
WASP-37,Transit,3.577469,0.0446,0.,1.8,343.,0.93,2014-05-14,
HD 38529,Radial Velocity,2140.2,3.712,0.341,13.38,42.4,1.48,2014-05-14,
HD 38529,Radial Velocity,14.3098,0.131,0.257,0.839,42.4,1.48,2014-05-14,
WASP-32,Transit,2.718659,0.0394,0.018,3.6,,1.1,2014-05-14,
K2-27,Transit,6.77145,,0.16,0.09156,,0.89,2016-02-11,
K2-35,Transit,5.60912,0.0564,,,,0.76,2016-07-07,
K2-35,Transit,2.39984,0.032,,,,0.76,2016-07-07,
CoRoT-2,Transit,1.7429935,0.02798,0.0143,3.47,200.,0.96,2014-05-14,
CoRoT-8,Transit,6.21229,0.063,0.,0.22,380.,0.88,2014-05-14,
GJ 328,Radial Velocity,4100.,4.5,0.37,2.3,20.03,0.69,2014-05-14,49.92
K2-10,Transit,19.3044,,0.31,0.08495,271.,0.92,2016-02-11,
HD 95089,Radial Velocity,507.,1.51,0.157,1.2,149.03,1.58,2014-05-14,6.71
HD 70573,Radial Velocity,851.8,1.76,0.4,6.1,45.7,1.,2015-03-26,
WASP-84,Transit,8.5234865,0.0771,0.,0.694,125.,0.84,2014-10-15,
WASP-82,Transit,2.705782,0.0447,0.,1.24,200.,1.63,2016-01-21,
K2-11,Transit,39.93767,0.2257,,,2019.,1.35,2015-07-16,
HD 149143,Radial Velocity,4.088,0.052,0.08,1.36,63.49,1.1,2016-03-10,15.75
ome Ser,Radial Velocity,277.02,1.1,0.106,1.7,80.64,2.17,2014-05-14,12.4
K2-12,Transit,8.28212,0.0802,,,294.,1.01,2015-07-16,
HD 66141,Radial Velocity,480.5,1.2,0.07,6.,80.06,1.1,2014-05-14,12.49
WASP-24,Transit,2.34121242,0.03651,0.,1.071,,1.18,2014-05-14,
K2-13,Transit,39.91488,0.2114,,,290.,0.8,2015-07-16,
K2-14,Transit,8.36802,0.0627,,,219.,0.47,2015-07-16,
