pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-319,31.781925,0.191,,,,1.29,2014-05-14,
Kepler-319,6.941357,0.069,,,,1.29,2014-05-14,
Kepler-690,7.74809437,,,,1653.,1.11,2016-05-10,
Kepler-158,16.709184,0.111,,,,,2014-05-14,
Kepler-158,28.551383,0.158,,,,,2014-05-14,
Kepler-887,7.63846023,,,,831.,1.19,2016-05-10,
Kepler-887,20.42228798,,,,831.,1.19,2016-05-10,
Kepler-1042,10.13202575,,,,659.,0.75,2016-05-10,
Kepler-168,4.425391,0.056,,,,,2014-05-14,
Kepler-168,13.193242,0.116,,,,,2014-05-14,
Kepler-628,15.4580567,,,,579.,1.,2016-05-10,
Kepler-1154,8.45808312,,,,1531.,1.26,2016-05-10,
Kepler-1154,5.1856142,,,,1531.,1.26,2016-05-10,
Kepler-1470,16.2950903,,,,569.,0.8,2016-05-10,
Kepler-1625,287.378949,,,,1213.,0.96,2016-05-10,
Kepler-236,8.295611,0.065,,,,0.56,2014-05-14,
Kepler-236,23.968127,0.132,,,,0.56,2014-05-14,
Kepler-1551,24.4973698,,,,1560.,1.14,2016-05-10,
Kepler-621,2.62811375,,,,389.,0.72,2016-05-10,
Kepler-630,161.4743937,,,,657.,1.02,2016-05-10,
Kepler-629,7.2385854,,,,383.,0.93,2016-05-10,
Kepler-122,37.993273,0.227,,,,0.99,2014-05-14,
Kepler-122,21.587475,0.155,,,,0.99,2014-05-14,
Kepler-122,12.465988,0.108,,,,0.99,2014-05-14,
Kepler-122,5.766193,0.064,,,,0.99,2014-05-14,
Kepler-122,56.268,,,0.113,,0.99,2014-05-28,
Kepler-579,9.66857723,,,,663.,0.99,2016-05-10,
PH1,138.317,0.652,0.0702,0.531,1000.,1.53,2014-05-14,
Kepler-1330,10.10769068,,,,939.,0.97,2016-05-10,
Kepler-80,4.645387,0.049,,,,0.72,2014-05-14,
Kepler-80,7.053,,,,,0.72,2014-05-14,
Kepler-80,0.98678706,,,,,0.72,2016-05-10,
Kepler-80,3.072186,0.037,,,,0.72,2014-05-14,
Kepler-80,9.522,,,,,0.72,2014-05-14,
Kepler-1026,36.5156053,,,,389.,0.79,2016-05-10,
Kepler-1291,8.63043276,,,,982.,0.84,2016-05-10,
Kepler-328,34.921,,,0.09,,1.15,2014-05-14,
Kepler-328,71.312,,,0.124,,1.15,2014-05-14,
Kepler-691,8.114379,,,,239.,0.53,2016-05-10,
Kepler-923,6.93366476,,,,966.,1.11,2016-05-10,
Kepler-103,15.9654,,,0.031,,1.09,2014-05-14,
Kepler-103,179.612,,,0.114,,1.09,2014-05-14,
Kepler-1300,22.2419092,,,,757.,1.29,2016-05-10,
Kepler-1032,3.29011795,,,,607.,0.77,2016-05-10,
Kepler-906,41.6979976,,,,758.,1.06,2016-05-10,
Kepler-1017,7.23400469,,,,554.,0.93,2016-05-10,
Kepler-1225,7.01075434,,,,1241.,1.13,2016-05-10,
Kepler-1393,2.44357812,,,,462.,0.95,2016-05-10,
Kepler-1115,23.5540725,,,,935.,1.6,2016-05-10,
Kepler-692,21.81293494,,,,1000.,0.9,2016-05-10,
Kepler-1238,4.14787559,,,,1533.,1.3,2016-05-10,
Kepler-475,3.10550819,,,,280.,0.86,2016-05-10,
Kepler-1556,8.82713457,,,,1060.,0.97,2016-05-10,
Kepler-974,4.19449651,,,,121.,0.52,2016-05-10,
Kepler-631,17.97979059,,,,843.,1.24,2016-05-10,
Kepler-1424,29.6091744,,,,620.,1.02,2016-05-10,
Kepler-199,67.093408,0.316,,,,,2014-05-14,
Kepler-199,23.637604,0.158,,,,,2014-05-14,
Kepler-130,8.457458,0.079,,,,1.,2014-05-14,
Kepler-130,27.50868,0.178,0.,,,1.,2014-05-14,
Kepler-130,87.517905,0.377,,,,1.,2014-05-14,
Kepler-955,14.53244172,,,,637.,0.89,2016-05-10,
Kepler-109,21.2227,,,0.007,,1.04,2014-05-14,
Kepler-109,6.48163,,,0.004,,1.04,2014-05-14,
Kepler-632,30.99660733,,,,349.,0.91,2016-05-10,
Kepler-1567,153.979578,,,,1226.,0.95,2016-05-10,
Kepler-1316,87.9732136,,,,753.,1.04,2016-05-10,
Kepler-340,22.824669,0.178,,,,2.11,2014-05-14,
Kepler-340,14.844387,0.134,,,,2.11,2014-05-14,
Kepler-1324,4.11584468,,,,522.,0.78,2016-05-10,
Kepler-305,8.291,,,0.019,,0.76,2014-05-14,
Kepler-305,16.738661,0.121,,,,0.76,2014-05-14,
Kepler-305,5.487,,,0.033,,0.76,2014-05-14,
Kepler-398,11.419412,0.087,,,,,2014-05-14,
Kepler-398,4.081423,0.044,,,,,2014-05-14,
Kepler-398,6.83437001,,,,,,2016-05-10,
Kepler-891,53.44945593,,,,1372.,1.06,2016-05-10,
Kepler-693,15.37563332,,,,1002.,0.76,2016-05-10,
Kepler-1279,23.4774101,,,,1017.,1.21,2016-05-10,
Kepler-1576,6.98471973,,,,539.,1.05,2016-05-10,
Kepler-1378,11.95398936,,,,562.,0.7,2016-05-10,
Kepler-1508,20.7056504,,,,892.,1.14,2016-05-10,
Kepler-1320,0.86838653,,,,771.,0.8,2016-05-10,
KELT-3,2.7033904,0.04122,0.,1.477,178.,1.28,2014-05-14,
Kepler-904,3.02166863,,,,1151.,1.16,2016-05-10,
Kepler-924,61.0370117,,,,995.,1.14,2016-05-10,
Kepler-1451,35.622233,,,,1159.,1.,2016-05-10,
Kepler-307,13.0729,,,0.01145,,0.91,2016-04-07,
Kepler-307,10.4208,,,0.02341,,0.91,2016-04-07,
Kepler-694,6.36584161,,,,1023.,0.97,2016-05-10,
Kepler-237,8.103636,0.071,,,,0.7,2014-05-14,
Kepler-237,4.715106,0.05,,,,0.7,2014-05-14,
Kepler-1602,11.17931605,,,,815.,1.22,2016-05-10,
47 UMa,14002.,11.6,0.16,1.64,14.08,1.03,2014-05-14,71.04
47 UMa,1078.,2.1,0.032,2.53,14.08,1.03,2014-05-14,71.04
47 UMa,2391.,3.6,0.098,0.54,14.08,1.03,2014-05-14,71.04
Kepler-308,15.38231,0.123,,,,,2014-05-14,
Kepler-308,9.694928,0.09,,,,,2014-05-14,
Kepler-400,17.340824,0.134,,,,,2014-05-14,
Kepler-400,9.024389,0.087,,,,,2014-05-14,
Kepler-925,33.8678531,,,,623.,0.77,2016-05-10,
Kepler-84,12.883,,,,,1.,2014-05-14,
Kepler-84,27.434389,0.181,,,,1.,2014-05-14,
Kepler-84,44.552169,0.25,,,,1.,2014-05-14,
Kepler-84,8.726,,,,,1.,2014-05-14,
Kepler-84,4.224537,0.052,,,,1.,2014-05-14,
Kepler-150,3.428054,0.044,,,,,2014-05-14,
Kepler-150,12.56093,0.104,,,,,2014-05-14,
Kepler-150,30.826557,0.189,,,,,2014-05-14,
Kepler-150,7.381998,0.073,,,,,2014-05-14,
Kepler-96,16.2385,,,0.027,,1.,2014-05-14,
HD 23596,1561.,2.772,0.266,7.71,52.,1.16,2014-05-14,
Kepler-1276,12.5720095,,,,587.,1.14,2016-05-10,
Kepler-348,17.265427,0.138,,,,1.15,2014-05-14,
Kepler-348,7.05677,0.076,,,,1.15,2014-05-14,
Kepler-580,8.22241966,,,,333.,0.67,2016-05-10,
Kepler-964,13.5225106,,,,478.,0.93,2016-05-10,
Kepler-1240,4.8663815,,,,614.,0.98,2016-05-10,
Kepler-304,9.653471,0.08,,,,0.8,2014-05-14,
Kepler-304,3.295709,0.039,,,,0.8,2014-05-14,
Kepler-304,5.315946,0.054,,,,0.8,2014-05-14,
Kepler-304,1.49914695,,,,,0.8,2016-05-10,
Kepler-53,18.6489525,,,18.41,,0.98,2014-05-14,
Kepler-53,38.5583038,,,15.74,,0.98,2014-05-14,
Kepler-53,9.751962,0.091,,,,0.98,2014-05-14,
Kepler-425,3.79701816,0.0464,0.33,0.25,650.,0.93,2014-10-03,
Kepler-1589,0.99166527,,,,1418.,1.18,2016-05-10,
Kepler-1277,40.8365012,,,,606.,0.94,2016-05-10,
Kepler-1566,0.53991524,,,,511.,0.84,2016-05-10,
Kepler-428,3.52563254,0.0433,0.22,1.27,720.,0.87,2014-10-03,
Kepler-49,2.576549,0.031,,,,0.55,2014-05-14,
Kepler-49,7.2037945,,,0.98,,0.55,2014-05-14,
Kepler-49,10.9129343,,,0.72,,0.55,2014-05-14,
Kepler-49,18.596108,0.116,,,,0.55,2014-05-14,
Kepler-633,8.50340718,,,,634.,1.02,2016-05-10,
Kepler-1417,20.3505213,,,,656.,1.02,2016-05-10,
Kepler-306,17.326644,0.12,,,,0.82,2014-05-14,
Kepler-306,44.840975,0.227,,,,0.82,2014-05-14,
Kepler-306,7.240193,0.067,,,,0.82,2014-05-14,
Kepler-306,4.646186,0.05,,,,0.82,2014-05-14,
Kepler-238,13.233549,0.115,,,,1.06,2014-05-14,
Kepler-238,23.654,,,0.534,,1.06,2014-05-14,
Kepler-238,6.155557,0.069,,,,1.06,2014-05-14,
Kepler-238,2.090876,0.034,,,,1.06,2014-05-14,
Kepler-238,50.447,,,0.042,,1.06,2014-05-14,
Kepler-581,40.6069821,,,,833.,1.,2016-05-10,
KIC 5437945,440.7813,,,,,1.07,2016-01-05,
KIC 5437945,220.1303357,,,,,1.07,2016-05-10,
Kepler-1647,1107.5923,2.7205,0.0581,1.51968,,1.22,2016-05-19,
Kepler-239,11.763051,0.095,,,,0.74,2014-05-14,
Kepler-239,56.228098,0.268,,,,0.74,2014-05-14,
Kepler-903,62.9228557,,,,829.,0.98,2016-05-10,
Kepler-903,10.3507721,,,,829.,0.98,2016-05-10,
KOI-142,22.3395,0.15525,0.05628,0.626,339.,0.96,2014-05-14,
KOI-142,10.95416,,0.05593,0.027,339.,0.96,2014-05-14,
Kepler-399,26.67569,0.155,,,,,2014-05-14,
Kepler-399,14.425281,0.103,,,,,2014-05-14,
Kepler-399,58.034616,0.261,,,,,2014-05-14,
Kepler-899,19.17891293,,,,1038.,0.93,2016-05-10,
Kepler-1438,2.31942009,,,,866.,0.97,2016-05-10,
Kepler-545,13.24934059,,,,831.,1.04,2016-05-10,
Kepler-926,52.0688601,,,,771.,1.01,2016-05-10,
Kepler-634,5.16950177,,,,757.,1.03,2016-05-10,
Kepler-970,16.73652231,,,,350.,0.7,2016-05-10,
Kepler-506,6.8834055,,,,231.,1.19,2016-05-10,
Kepler-1626,4.13962966,,,,1718.,1.51,2016-05-10,
Kepler-1125,17.6700642,,,,910.,0.95,2016-05-10,
Kepler-1310,0.67933627,,,,583.,0.91,2016-05-10,
Kepler-240,7.953528,0.074,,,,,2014-05-14,
Kepler-240,4.144495,0.048,,,,,2014-05-14,
Kepler-911,20.310501,,,,567.,1.34,2016-05-10,
Kepler-1401,11.20066445,,,,1242.,1.07,2016-05-10,
Kepler-1309,28.8432647,,,,845.,0.85,2016-05-10,
Kepler-1283,12.9460978,,,,1452.,1.16,2016-05-10,
Kepler-338,13.726976,0.117,,,,1.1,2014-05-14,
Kepler-338,9.341,,,0.027,,1.1,2014-05-28,
Kepler-338,44.431014,0.257,,,,1.1,2014-05-14,
Kepler-338,24.310856,0.172,,,,1.1,2014-05-14,
Kepler-635,23.44971004,,,,826.,1.33,2016-05-10,
Kepler-1565,1.53818844,,,,657.,0.76,2016-05-10,
Kepler-959,14.80074836,,,,1003.,1.6,2016-05-10,
Kepler-695,3.04033042,,,,620.,0.84,2016-05-10,
Kepler-1201,15.18725932,,,,1202.,1.15,2016-05-10,
Kepler-1347,14.00947528,,,,321.,0.82,2016-05-10,
Kepler-1640,7.5844126,,,,1379.,1.27,2016-05-10,
Kepler-1195,8.49642241,,,,812.,0.74,2016-05-10,
Kepler-1211,11.01816836,,,,1486.,0.96,2016-05-10,
HD 49674,4.94737,0.058,0.087,0.105,40.73,1.06,2014-07-23,24.55
Kepler-159,10.139623,0.082,,,,,2014-05-14,
Kepler-159,43.595792,0.218,,,,,2014-05-14,
Kepler-1362,136.205626,,,,767.,0.8,2016-05-10,
Kepler-901,3.51749439,,,,241.,0.59,2016-05-10,
Kepler-1051,25.96200249,,,,1021.,1.43,2016-05-10,
Kepler-333,12.551158,0.087,,,,0.54,2014-05-14,
Kepler-333,24.08821,0.135,,,,0.54,2014-05-14,
Kepler-370,4.57953,0.054,,,,0.94,2014-05-14,
Kepler-370,19.02293,0.14,,,,0.94,2014-05-14,
Kepler-169,6.195469,0.062,,,,0.86,2014-05-14,
Kepler-169,3.250619,0.04,,,,0.86,2014-05-14,
Kepler-169,13.767102,0.105,,,,0.86,2014-05-14,
Kepler-169,87.090195,0.359,,,,0.86,2014-05-14,
Kepler-169,8.348125,0.075,,,,0.86,2014-05-14,
Kepler-622,14.28226676,,,,259.,0.64,2016-05-10,
Kepler-598,3.70175428,,,,686.,0.87,2016-05-10,
Kepler-1369,25.873148,,,,1236.,0.99,2016-05-10,
Kepler-131,25.5169,,,0.026,,1.02,2014-05-14,
Kepler-131,16.092,,,0.051,,1.02,2014-05-14,
Kepler-48,982.,,,2.067,,0.88,2014-05-14,
Kepler-48,4.7779803,,,5.94,,0.88,2014-05-14,
Kepler-48,9.6739283,,,11.61,,0.88,2014-05-14,
Kepler-48,42.8961,,,0.025,,0.88,2014-05-14,
Kepler-433,5.33408384,0.0679,0.119,2.82,1870.,1.46,2015-01-14,
Kepler-1439,8.07392849,,,,215.,0.46,2016-05-10,
Kepler-546,4.14702026,,,,896.,1.11,2016-05-10,
KOI-12,17.8552333,0.151,0.72,10.,426.,1.45,2015-05-14,
Kepler-151,24.674612,0.16,,,,0.83,2014-05-14,
Kepler-151,15.228958,0.116,,,,0.83,2014-05-14,
HAT-P-21,4.124481,0.0494,0.228,4.063,254.,0.95,2014-05-14,
Kepler-747,35.61760587,,,,855.,0.82,2016-05-10,
Kepler-1312,5.44832529,,,,305.,0.99,2016-05-10,
Kepler-1492,16.75255007,,,,371.,0.77,2016-05-10,
Kepler-1458,47.9872764,,,,642.,0.96,2016-05-10,
Kepler-1289,7.99019627,,,,1059.,1.1,2016-05-10,
Kepler-1529,5.33905686,,,,683.,0.81,2016-05-10,
HAT-P-2,5.6334729,0.06878,0.5171,9.09,135.32,1.36,2014-05-14,7.39
Kepler-582,18.49235668,,,,751.,0.93,2016-05-10,
Kepler-241,12.718092,0.094,,,,,2014-05-14,
Kepler-241,36.065978,0.189,,,,,2014-05-14,
Kepler-45,2.455239,0.03,0.11,0.505,333.,0.59,2014-05-14,
Kepler-599,15.65562652,,,,627.,0.83,2016-05-10,
Kepler-27,31.3309,0.191,,13.8,,0.65,2014-05-14,
Kepler-27,15.3348,0.118,,9.11,,0.65,2014-05-14,
Kepler-7,4.8854892,0.06067,,0.441,,1.36,2015-10-15,
HD 43691,36.96,0.24,0.14,2.49,93.2,1.38,2015-01-22,10.73
KOI-55,0.342887,0.0076,,0.0021,1180.,0.5,2014-05-14,
KOI-55,0.240104,0.006,,0.0014,1180.,0.5,2014-05-14,
Kepler-636,16.08066115,,,,341.,0.85,2016-05-10,
Kepler-755,1.26909037,,,,368.,0.82,2016-05-10,
Kepler-755,2.85313364,,,,368.,0.82,2016-05-10,
Kepler-1423,23.955378,,,,449.,0.79,2016-05-10,
Kepler-1333,109.6471842,,,,958.,0.94,2016-05-10,
Kepler-950,98.7180406,,,,1489.,1.02,2016-05-10,
Kepler-758,4.75793986,,,,1353.,1.16,2016-05-10,
Kepler-758,20.4966197,,,,1353.,1.16,2016-05-10,
Kepler-758,12.1097104,,,,1353.,1.16,2016-05-10,
Kepler-758,8.1934719,,,,1353.,1.16,2016-05-10,
Kepler-696,4.19042557,,,,1285.,1.06,2016-05-10,
Kepler-1318,213.257663,,,,475.,0.73,2016-05-10,
Kepler-65,2.15491,0.035,,,,1.25,2014-05-14,
Kepler-65,5.859944,0.068,,,,1.25,2014-05-14,
Kepler-65,8.13123,0.084,,,,1.25,2014-05-14,
Kepler-1599,122.363553,,,,1004.,0.99,2016-05-10,
Kepler-1582,4.83817712,,,,112.,0.28,2016-05-10,
Kepler-971,9.59070716,,,,345.,0.88,2016-05-10,
Kepler-1242,13.62798432,,,,682.,0.77,2016-05-10,
Kepler-1532,1.09366356,,,,824.,0.91,2016-05-10,
Kepler-756,1.22486632,,,,852.,0.82,2016-05-10,
Kepler-1540,125.4131177,,,,262.,0.74,2016-05-10,
Kepler-390,6.738088,0.065,,,,0.67,2014-05-14,
Kepler-390,13.060022,0.101,,,,0.67,2014-05-14,
Kepler-1062,9.30412078,,,,388.,0.75,2016-05-10,
Kepler-487,38.6519976,,,,835.,0.91,2016-05-10,
Kepler-487,15.3587684,,,,835.,0.91,2016-05-10,
KIC 5951458,1320.1,,,,,0.98,2016-01-05,
Kepler-1331,0.78916165,,,,365.,0.72,2016-05-10,
HD 89744,256.78,0.918,0.673,8.44,39.,1.56,2014-05-14,
Kepler-200,10.222157,0.09,,,,,2014-05-14,
Kepler-200,8.594805,0.08,,,,,2014-05-14,
Kepler-496,8.30864937,,,,655.,0.86,2016-05-10,
Kepler-265,43.130617,0.236,,,,1.03,2014-05-14,
Kepler-265,67.831024,0.319,,,,1.03,2014-05-14,
Kepler-265,17.028937,0.127,,,,1.03,2014-05-14,
Kepler-265,6.846262,0.069,,,,1.03,2014-05-14,
Kepler-201,25.672083,0.175,,,,1.17,2014-05-14,
Kepler-201,151.884058,0.573,,,,1.17,2014-05-14,
Kepler-1468,3.54553021,,,,1130.,1.04,2016-05-10,
Kepler-1468,8.23984869,,,,1130.,1.04,2016-05-10,
Kepler-517,60.92832271,,,,284.,0.95,2016-05-10,
Kepler-99,4.60358,,,0.019,,0.79,2014-05-14,
Kepler-698,16.32976218,,,,1135.,0.94,2016-05-10,
Kepler-363,3.614568,0.048,,,,1.23,2014-05-14,
Kepler-363,7.542427,0.079,,,,1.23,2014-05-14,
Kepler-363,11.932125,0.107,,,,1.23,2014-05-14,
Kepler-1129,76.5369586,,,,1258.,1.,2016-05-10,
Kepler-1129,24.3397804,,,,1258.,1.,2016-05-10,
Kepler-1081,3.85691855,,,,425.,0.88,2016-05-10,
Kepler-202,16.282493,0.113,,,,,2014-05-14,
Kepler-202,4.069427,0.045,,,,,2014-05-14,
Kepler-336,9.600001,0.092,,,,0.89,2014-05-14,
Kepler-336,20.678772,0.154,,,,0.89,2014-05-14,
Kepler-336,2.024823,0.033,,,,0.89,2014-05-14,
Kepler-354,5.47666,0.054,,,,0.65,2014-05-14,
Kepler-354,16.934402,0.115,,,,0.65,2014-05-14,
Kepler-354,24.209842,0.146,,,,0.65,2014-05-14,
Kepler-132,6.178196,0.067,,,,,2014-05-14,
Kepler-132,18.010199,0.136,,,,,2014-05-14,
Kepler-132,110.2869374,,,,,,2016-05-10,
Kepler-132,6.414914,0.068,,,,,2014-05-14,
Kepler-697,3.70987065,,,,1091.,0.92,2016-05-10,
Kepler-74,7.340711,0.0781,0.,0.63,1330.,1.18,2015-01-29,
Kepler-1580,56.6449279,,,,872.,1.47,2016-05-10,
Kepler-1095,4.27103091,,,,758.,0.94,2016-05-10,
Kepler-518,8.51203588,,,,324.,0.96,2016-05-10,
Kepler-759,41.805985,,,,892.,1.04,2016-05-10,
Kepler-519,24.3078946,,,,234.,0.89,2016-05-10,
Kepler-757,1.02267882,,,,1016.,1.08,2016-05-10,
Kepler-203,5.370647,0.061,,,,0.98,2014-05-14,
Kepler-203,3.162697,0.043,,,,0.98,2014-05-14,
Kepler-203,11.32972,0.1,,,,0.98,2014-05-14,
Kepler-927,9.1149903,,,,879.,0.99,2016-05-10,
Kepler-699,27.80756293,,,,888.,0.81,2016-05-10,
ups And,241.258,0.827774,0.2596,1.981,13.47,1.3,2014-05-14,74.25
ups And,4.617033,0.059222,0.0215,0.6876,13.47,1.3,2014-05-14,74.25
ups And,3848.86,5.24558,0.00536,1.059,13.47,1.3,2014-05-14,74.25
ups And,1276.46,2.51329,0.2987,4.132,13.47,1.3,2014-05-14,74.25
Kepler-1296,8.3839865,,,,631.,0.87,2016-05-10,
Kepler-1379,0.88184115,,,,951.,0.83,2016-05-10,
Kepler-637,23.20584623,,,,1575.,1.64,2016-05-10,
Kepler-1093,25.0824626,,,,848.,1.13,2016-05-10,
Kepler-1093,89.722292,,,,848.,1.13,2016-05-10,
Kepler-118,7.518496,0.073,,,,0.86,2014-05-14,
Kepler-118,20.17202,0.141,,,,0.86,2014-05-14,
Kepler-440,101.11141,0.242,0.34,,261.,0.57,2015-01-06,
Kepler-1506,14.0329154,,,,1318.,0.95,2016-05-10,
Kepler-1407,20.0711504,,,,1275.,1.1,2016-05-10,
Kepler-1205,1.07839035,,,,766.,0.84,2016-05-10,
Kepler-948,7.76846622,,,,884.,0.96,2016-05-10,
Kepler-996,3.77059058,,,,1098.,1.09,2016-05-10,
Kepler-943,49.7701438,,,,1239.,0.93,2016-05-10,
Kepler-1546,19.5974971,,,,994.,0.95,2016-05-10,
Kepler-928,3.9324613,,,,532.,0.73,2016-05-10,
Kepler-1029,4.41769648,,,,422.,0.82,2016-05-10,
Kepler-1366,2.16457097,,,,395.,0.62,2016-05-10,
Kepler-1057,14.08827448,,,,1462.,1.07,2016-05-10,
Kepler-92,49.3568,,0.07,,,1.21,2015-05-21,
Kepler-92,13.749,,,0.202,,1.21,2014-05-14,
Kepler-92,26.723,,,0.019,,1.21,2014-05-14,
Kepler-700,80.8720639,,,,1061.,0.98,2016-05-10,
Kepler-1641,32.657212,,,,961.,1.12,2016-05-10,
Kepler-1641,19.672266,,,,961.,1.12,2016-05-10,
Kepler-1158,13.5396293,,,,1258.,1.41,2016-05-10,
Kepler-1627,7.20283653,,,,311.,0.87,2016-05-10,
Kepler-1288,2.76122421,,,,715.,1.2,2016-05-10,
Kepler-557,3.70598955,,,,1126.,1.11,2016-05-10,
Kepler-929,0.92103214,,,,820.,1.01,2016-05-10,
Kepler-638,6.07972888,,,,426.,0.88,2016-05-10,
Kepler-520,19.67416124,,,,492.,1.1,2016-05-10,
Kepler-520,5.21104261,,,,492.,1.1,2016-05-10,
Kepler-170,16.665863,0.131,,,,,2014-05-14,
Kepler-170,7.930592,0.08,,,,,2014-05-14,
Kepler-907,15.86621821,,,,352.,1.08,2016-05-10,
Kepler-701,10.35533177,,,,755.,0.88,2016-05-10,
Kepler-444,7.743493,0.0696,0.1,,35.7,0.76,2015-01-29,28.03
Kepler-444,6.189392,0.06,0.18,,35.7,0.76,2015-01-29,28.03
Kepler-444,3.6001053,0.04178,0.16,,35.7,0.76,2015-01-29,28.03
Kepler-444,4.5458841,0.04881,0.31,,35.7,0.76,2015-01-29,28.03
Kepler-444,9.740486,0.0811,0.29,,35.7,0.76,2015-01-29,28.03
Kepler-776,4.89718784,,,,727.,0.83,2016-05-10,
Kepler-1147,10.62784997,,,,1476.,1.09,2016-05-10,
Kepler-1368,0.67564949,,,,1750.,1.07,2016-05-10,
Kepler-1499,44.2008,,,,310.,0.82,2016-05-10,
Kepler-702,10.52629406,,,,892.,0.9,2016-05-10,
Kepler-494,8.02511821,,,,862.,1.1,2016-05-10,
Kepler-1418,22.4764425,,,,499.,0.77,2016-05-10,
Kepler-1338,0.93511806,,,,619.,1.04,2016-05-10,
Kepler-775,0.97486893,,,,400.,0.92,2016-05-10,
Kepler-1059,3.76419105,,,,673.,0.75,2016-05-10,
Kepler-1230,9.95661537,,,,1433.,1.06,2016-05-10,
Kepler-639,10.21420496,,,,680.,1.14,2016-05-10,
Kepler-501,5.64067757,,,,1044.,1.03,2016-05-10,
HD 136418,464.3,1.32,0.255,2.,106.38,1.33,2014-05-14,9.4
Kepler-1554,198.088774,,,,982.,0.84,2016-05-10,
Kepler-703,4.58352176,,,,1482.,1.18,2016-05-10,
Kepler-1478,26.0840594,,,,1405.,1.04,2016-05-10,
Kepler-171,11.463462,0.098,,,,,2014-05-14,
Kepler-171,39.595519,0.223,,,,,2014-05-14,
Kepler-171,4.166972,0.05,,,,,2014-05-14,
Kepler-353,8.410894,0.065,,,,0.54,2014-05-14,
Kepler-353,5.795278,0.051,,,,0.54,2014-05-14,
Kepler-912,2.53475627,,,,1265.,1.07,2016-05-10,
Kepler-204,14.400974,0.117,,,,0.96,2014-05-14,
Kepler-204,25.660593,0.173,,,,0.96,2014-05-14,
Kepler-269,5.326718,0.061,,,,0.98,2014-05-14,
Kepler-269,8.127899,0.081,,,,0.98,2014-05-14,
Kepler-1370,20.2641684,,,,878.,1.19,2016-05-10,
Kepler-1370,7.44142113,,,,878.,1.19,2016-05-10,
Kepler-797,27.07237711,,,,752.,0.96,2016-05-10,
Kepler-1505,30.8609366,,,,359.,0.93,2016-05-10,
Kepler-242,14.496481,0.109,,,,,2014-05-14,
Kepler-242,8.20395,0.075,,,,,2014-05-14,
Kepler-705,56.0560538,,,,251.,0.53,2016-05-10,
Kepler-172,35.118736,0.211,,,,0.86,2014-05-14,
Kepler-172,6.388996,0.068,,,,0.86,2014-05-14,
Kepler-172,14.627119,0.118,,,,0.86,2014-05-14,
Kepler-172,2.940309,0.04,,,,0.86,2014-05-14,
Kepler-206,7.781987,0.078,,,,0.94,2014-05-14,
Kepler-206,13.137471,0.111,,,,0.94,2014-05-14,
Kepler-206,23.44281,0.163,,,,0.94,2014-05-14,
Kepler-704,3.76182115,,,,1054.,0.97,2016-05-10,
Kepler-205,2.75564,0.032,,,,,2014-05-14,
Kepler-205,20.306546,0.122,,,,,2014-05-14,
Kepler-539,1000.,2.42,0.5,2.4,313.,1.05,2016-05-10,
Kepler-539,125.63243,0.4988,0.39,0.97,313.,1.05,2016-05-10,
Kepler-56,10.5016,0.1028,,0.07,,1.32,2014-05-14,
Kepler-56,21.40239,0.1652,,0.57,,1.32,2014-05-14,
Kepler-1227,94.2887577,,,,667.,0.97,2016-05-10,
Kepler-173,8.005777,0.074,,,,0.78,2014-05-14,
Kepler-173,4.263742,0.048,,,,0.78,2014-05-14,
Kepler-483,30.229104,,,,953.,1.28,2016-05-10,
KOI-94,3.743208,0.05119,0.25,0.033,,1.28,2014-05-14,
KOI-94,22.342989,0.1684,0.022,0.334,,1.28,2014-05-14,
KOI-94,54.32031,0.3046,0.019,0.11,,1.28,2014-05-14,
KOI-94,10.423648,0.1013,0.43,0.049,,1.28,2014-05-14,
Kepler-965,134.2527298,,,,618.,1.05,2016-05-10,
Kepler-1359,59.4970952,,,,669.,0.78,2016-05-10,
Kepler-449,12.58242,,0.03,,,0.97,2015-05-21,
Kepler-449,33.6727,,0.05,,,0.97,2015-05-21,
Kepler-11,31.9996,0.195,0.012,0.025,613.,0.96,2014-05-14,
Kepler-11,13.0241,0.107,0.026,0.009,613.,0.96,2014-05-14,
Kepler-11,22.6845,0.155,0.004,0.023,613.,0.96,2014-05-14,
Kepler-11,118.3807,0.466,0.15,0.079,613.,0.96,2014-05-14,
Kepler-11,46.6888,0.25,0.013,0.006,613.,0.96,2014-05-14,
Kepler-11,10.3039,0.091,0.045,0.006,613.,0.96,2014-05-14,
Kepler-706,41.40831347,,,,810.,0.87,2016-05-10,
Kepler-438,35.23319,0.166,0.03,,145.,0.54,2015-01-06,
Kepler-913,10.29672521,,,,597.,0.63,2016-05-10,
Kepler-600,23.67517607,,,,624.,0.84,2016-05-10,
Kepler-152,88.255055,0.356,,,,,2014-05-14,
Kepler-152,18.207973,0.124,,,,,2014-05-14,
Kepler-100,35.3331,,,0.009,,1.08,2014-05-14,
Kepler-100,12.8159,,,0.003,,1.08,2014-05-14,
Kepler-100,6.88705,,,0.023,,1.08,2014-05-14,
Kepler-952,130.3546919,,,,1167.,1.,2016-05-10,
Kepler-1501,14.5564533,,,,888.,1.2,2016-05-10,
Kepler-1463,25.15864,,,,1341.,0.96,2016-05-10,
Kepler-1457,51.1110243,,,,728.,1.01,2016-05-10,
Kepler-243,20.026218,0.142,,,,0.89,2014-05-14,
